koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition
4.14451656,2.3421,391.8,1.48,864.0,132.08,22.8,4768.0,4.536,0.779,15.66,CONFIRMED
4.859386384,2.2757,6044.3,38.33,1114.0,364.23,269.7,6072.0,4.47,0.988,15.311,FALSE POSITIVE
10.526294577,2.5211,9768.0,8.24,713.0,61.16,482.3,5386.0,4.553,0.793,15.305,CONFIRMED
4.583520948,2.7055,3812.1,5.39,1038.0,274.98,99.5,5815.0,4.54,0.877,15.287,CONFIRMED
3.76181843,3.5176,510.6,2.66,1121.0,372.62,35.9,5653.0,4.472,0.949,15.257,CONFIRMED
8.20396958,2.9667,1024.4,3.01,742.0,71.5,54.4,5015.0,4.499,0.826,15.376,CONFIRMED
14.49645186,4.016,647.5,3.01,613.0,33.48,25.7,5015.0,4.499,0.826,15.376,CONFIRMED
6.54626149,2.75,655.9,2.19,810.0,101.78,24.8,5251.0,4.581,0.817,15.855,CANDIDATE
12.71809866,3.0957,1149.4,2.31,562.0,23.6,52.7,4702.0,4.592,0.686,15.389,CONFIRMED
36.06588163,4.3246,1563.8,2.64,397.0,5.88,51.7,4702.0,4.592,0.686,15.389,CONFIRMED
4.190425659,2.8589,2877.4,6.21,1234.0,547.9,240.6,6073.0,4.392,1.135,15.27,CONFIRMED
3.709870784,3.0694,2020.3,4.35,1151.0,415.1,116.1,5727.0,4.463,0.978,15.581,CONFIRMED
16.3297527,6.271,1187.5,3.75,727.0,66.08,74.6,5878.0,4.444,0.987,15.447,CONFIRMED
27.807566216,4.21587,25391.0,13.84,554.0,22.24,748.1,5862.0,4.584,0.785,15.482,CONFIRMED
80.8723469,11.195,3604.6,7.59,452.0,9.88,160.9,5510.0,4.222,1.238,15.201,CONFIRMED
3.166465862,2.9381,4357.2,26.82,954.0,196.31,122.1,4968.0,4.575,0.704,15.999,FALSE POSITIVE
24.99324319,5.9409,269.6,2.29,712.0,60.88,62.0,5718.0,4.181,1.317,12.377,CONFIRMED
10.35533116,3.1775,750.6,2.47,777.0,86.22,49.2,5501.0,4.462,0.918,15.018,CONFIRMED
16.08518937,3.984,1442.4,3.68,613.0,33.43,62.6,5239.0,4.523,0.826,15.219,CONFIRMED
235.9986399,8.2284,20715.0,10.59,188.0,0.29,271.8,4245.0,4.627,0.657,15.172,CANDIDATE
7.49018305,2.7297,1123.6,2.56,753.0,76.06,53.0,5103.0,4.562,0.787,15.599,CONFIRMED
36.2761238,4.7865,1572.6,3.03,445.0,9.29,45.5,5103.0,4.562,0.787,15.599,CONFIRMED
17.46087931,2.2641,812.4,2.32,568.0,24.6,22.6,5103.0,4.562,0.787,15.599,CONFIRMED
56.0560754,4.685,1626.0,1.94,233.0,0.69,27.4,3593.0,4.757,0.491,15.849,CONFIRMED
41.408316686,5.0264,22839.0,11.38,453.0,9.93,907.8,5522.0,4.586,0.747,15.196,CONFIRMED
39.74893077,7.3051,15179.0,14.21,552.0,21.87,561.1,6122.0,4.487,0.964,15.344,CANDIDATE
5.715425977,2.5242,908.1,2.47,850.0,123.03,59.4,5237.0,4.572,0.826,15.086,CONFIRMED
49.18394185,11.3364,1646.2,8.2,669.0,47.4,355.7,5626.0,3.907,2.057,12.654,CONFIRMED
20.0261412,1.611,421.2,2.28,559.0,23.14,10.7,5237.0,4.572,0.826,15.086,CONFIRMED
13.61014819,2.594,5732.9,19.02,733.0,68.29,184.1,5697.0,4.46,0.903,15.06,FALSE POSITIVE
10.44331991,2.743,1159.8,2.66,667.0,46.94,51.7,4947.0,4.516,0.802,15.546,FALSE POSITIVE
2.237489571,1.8119,315.8,1.41,1160.0,427.17,30.7,5265.0,4.58,0.81,15.001,CONFIRMED
5.851520671,3.11058,33004.0,14.62,901.0,155.89,1630.4,5532.0,4.53,0.806,15.33,FALSE POSITIVE
3.167893418,2.1814,781.2,2.62,1221.0,526.23,64.8,5895.0,4.503,0.94,15.533,CONFIRMED
4.311780262,2.7251,1154.0,3.11,1038.0,274.84,86.1,5527.0,4.484,0.927,15.604,CONFIRMED
20.0504494,4.556,840.9,2.69,622.0,35.44,37.8,5527.0,4.484,0.927,15.604,CONFIRMED
9.76734503,1.6585,569.1,2.67,791.0,92.46,21.1,5527.0,4.484,0.927,15.604,CONFIRMED
119.0207044,8.1405,7430.5,8.98,366.0,4.25,223.5,5453.0,4.342,1.062,15.085,CANDIDATE
190.3200468,15.284,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,2.057,12.654,CONFIRMED
2.861159894,1.8832,1014.3,4.37,1355.0,797.1,58.3,6126.0,4.458,1.021,15.618,FALSE POSITIVE
26.44439337,3.9783,1843.5,3.91,562.0,23.54,88.0,5427.0,4.463,0.929,15.158,CONFIRMED
51.53997972,6.3994,3644.3,5.51,450.0,9.67,155.5,5427.0,4.463,0.929,15.158,CONFIRMED
5.902245782,2.9003,702.3,2.43,926.0,173.74,59.3,5427.0,4.463,0.929,15.158,CONFIRMED
2.382951591,1.8876,391.6,1.86,1253.0,583.01,41.4,5427.0,4.463,0.929,15.158,CONFIRMED
21.02250608,4.1072,1772.5,3.07,521.0,17.48,62.4,5067.0,4.585,0.75,15.859,CONFIRMED
3.219814777,2.0642,488.2,1.69,998.0,234.93,30.5,5103.0,4.562,0.787,15.599,CONFIRMED
5.912273234,2.3254,961.4,1.73,585.0,27.72,62.8,4072.0,4.696,0.57,15.036,CONFIRMED
8.98581901,2.8606,881.3,1.65,509.0,15.9,51.8,4072.0,4.696,0.57,15.036,CONFIRMED
12.940668656,2.4845,42450.0,22.94,723.0,64.64,307.5,5875.0,4.572,0.809,15.215,FALSE POSITIVE
20.5452375,2.517,218.5,2.41,742.0,71.57,18.5,5670.0,4.206,1.264,12.003,CANDIDATE
33.60123371,4.4056,7425.9,8.46,495.0,14.22,247.9,5149.0,4.447,0.93,15.262,CONFIRMED
6.76652928,2.9004,450.7,1.97,845.0,120.48,29.2,5149.0,4.447,0.93,15.262,CONFIRMED
4.347288783,2.1024,451.6,2.36,1174.0,449.79,39.7,5754.0,4.345,1.122,15.024,CONFIRMED
4.601811819,2.2607,755.9,2.35,896.0,152.91,60.8,4986.0,4.496,0.833,15.024,CONFIRMED
11.18719905,3.252,353.6,1.55,667.0,46.65,21.9,4986.0,4.496,0.833,15.024,CONFIRMED
4.220965778,3.0854,2260.0,2.62,595.0,29.68,157.8,3837.0,4.747,0.517,15.692,CANDIDATE
6.998099523,2.0488,20285.0,588.66,853.0,125.22,192.3,5612.0,4.566,0.829,15.877,FALSE POSITIVE
5.95489993,2.3892,1410.7,2.33,635.0,38.52,87.2,4261.0,4.641,0.633,15.019,CONFIRMED
12.03987488,2.7363,1250.6,2.18,502.0,15.06,57.6,4261.0,4.641,0.633,15.019,CONFIRMED
20.83762895,2.3734,439.0,1.42,418.0,7.24,14.9,4261.0,4.641,0.633,15.019,CONFIRMED
8.8111022,5.0683,401.1,63.66,1399.0,904.92,76.8,6200.0,3.8,2.404,12.759,FALSE POSITIVE
23.58917143,5.073,1200.7,3.16,487.0,13.34,53.3,4919.0,4.566,0.721,15.316,CONFIRMED
6.481633073,3.784,298.5,2.54,1145.0,406.25,125.6,5945.0,4.213,1.302,12.365,CONFIRMED
10.37168928,3.035,1254.9,3.2,720.0,63.68,64.5,5121.0,4.457,0.888,15.193,CONFIRMED
3.96996298,1.1757,299.2,1.78,992.0,229.37,15.0,5121.0,4.457,0.888,15.193,CANDIDATE
4.40841331,5.012,549.4,2.66,1139.0,398.0,45.1,6007.0,4.457,0.961,15.662,CONFIRMED
7.9426176,6.703,1590.7,4.68,878.0,140.57,60.4,5811.0,4.521,0.926,15.26,FALSE POSITIVE
226.8904775,7.558,3136.4,4.53,236.0,0.73,46.8,5067.0,4.585,0.75,15.859,CONFIRMED
1.956811408,2.1958,24905.0,21.58,1109.0,357.16,125.4,5209.0,4.657,0.603,15.533,FALSE POSITIVE
2.688899233,2.11275,37492.0,12.04,929.0,175.76,1011.6,4820.0,4.667,0.639,15.766,CANDIDATE
9.439459486,2.8979,3036.1,4.16,686.0,52.32,175.2,5097.0,4.597,0.779,15.067,CONFIRMED
11.523067458,3.8757,507.3,3.13,927.0,174.81,142.0,5644.0,4.162,1.411,12.346,CONFIRMED
20.47748843,2.8364,1382.4,2.92,530.0,18.65,52.7,5097.0,4.597,0.779,15.067,CONFIRMED
3.336123113,1.9616,516.3,1.74,970.0,209.79,41.6,5097.0,4.597,0.779,15.067,CONFIRMED
8.01078456,2.312,1333.6,1.72,453.0,9.9,48.5,3713.0,4.779,0.47,15.847,CONFIRMED
12.07134205,4.3224,759.2,1.29,395.0,5.74,31.0,3713.0,4.779,0.47,15.847,CONFIRMED
20.99587872,2.6333,767.3,1.3,328.0,2.74,18.2,3713.0,4.779,0.47,15.847,CONFIRMED
7.41113177,2.5242,620.5,2.45,905.0,158.11,50.4,5849.0,4.517,0.919,15.031,CONFIRMED
1.000747038,0.9967,1823.5,4.14,1620.0,1635.2,147.4,5472.0,4.499,0.79,15.419,FALSE POSITIVE
8.884922995,2.07004,16053.0,10.51,770.0,83.21,388.2,5332.0,4.5,0.843,15.264,CONFIRMED
8.09888906,4.20241,6911.1,8.95,986.0,223.19,435.9,6214.0,4.442,1.076,15.261,CONFIRMED
10.00653012,5.344,936.1,3.52,876.0,139.21,71.9,6063.0,4.47,1.001,15.063,CONFIRMED
17.855221681,7.41287,9065.2,13.16,911.0,163.04,915.7,6823.0,4.308,1.367,11.353,CONFIRMED
12.732624065,2.2083,6465.7,4.87,432.0,8.22,210.5,3950.0,4.721,0.541,15.75,CANDIDATE
83.92494032,6.7904,7958.7,4.78,226.0,0.62,182.1,3960.0,4.746,0.509,15.754,CANDIDATE
5.007316661,4.2362,6932.3,6.96,998.0,234.28,431.4,5865.0,4.563,0.827,15.813,CONFIRMED
2.211116989,1.6485,724.2,1.85,931.0,177.19,42.6,4500.0,4.656,0.646,15.791,CONFIRMED
27.9541337,3.95,942.5,1.9,400.0,6.04,25.4,4500.0,4.656,0.646,15.791,CONFIRMED
12.69104387,3.7727,252.1,2.57,1008.0,244.3,60.2,5869.0,4.024,1.626,12.935,CONFIRMED
4.409409243,3.8636,12861.0,10.95,1101.0,347.06,85.8,5600.0,4.368,0.975,15.403,FALSE POSITIVE
16.23947096,4.0374,2590.7,4.14,598.0,30.14,123.8,5191.0,4.564,0.837,15.258,CONFIRMED
